,date,Industrie,Services
0,2019-01-01,0.0,0.00031561970350685054
1,2019-04-01,0.0,0.00031561970350685054
2,2019-07-01,0.0,0.0006312394070137011
3,2019-10-01,0.0,0.0012624788140274022
4,2020-01-01,0.0,0.0012624788140274022
5,2020-04-01,0.0,0.0012624788140274022
6,2020-07-01,0.0,0.0018937182210411031
7,2020-10-01,0.001954995992258216,0.002209337924547954
8,2021-01-01,0.001954995992258216,0.0025249576280548043
9,2021-04-01,0.001954995992258216,0.0028405773315616544
10,2021-07-01,0.001954995992258216,0.0031561970350685057
11,2021-10-01,0.001954995992258216,0.004418675849095908
12,2022-01-01,0.005864987976774648,0.005049915256109609
13,2022-04-01,0.007819983969032863,0.00599677436663016
14,2022-07-01,0.007819983969032863,0.006628013773643861
15,2022-10-01,0.00977497996129108,0.007890492587671263
16,2023-01-01,0.00977497996129108,0.010731069919232918
17,2023-04-01,0.011729975953549295,0.014202886657808275
18,2023-07-01,0.015639967938065727,0.020199661024438435
19,2023-10-01,0.025414947899356808,0.026827674798082297
20,2024-01-01,0.027369943891615026,0.036296265903287814
21,2024-04-01,0.04105491583742253,0.04955229345057553
22,2024-07-01,0.050829895798713616,0.06659575743994546
23,2024-10-01,0.05864987976774647,0.08269236231879484
24,2025-01-01,0.06451486774452113,0.10162954452920586
25,2025-04-01,0.07233485171355399,0.11772614940805524
26,2025-07-01,0.08406482766710328,0.13981952865353478
27,2025-10-01,0.09383980762839436,0.14865688035172658
